"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.97","9.52","9.69","","10.02","10.16","10.3","10.15","12.12","","","",
"Africa Eastern and Southern","AFE","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.01","","7.79","7.81","5","","","","5.5","5.5","","","","","5.72","","","","",
"Africa Western and Central","AFW","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.44","","6.16","7.08","7.08","","9.17","9.15","9.23","8.36","7.61","7.52","10.3","9.38","9.38","","7.68","6.52","9.23","","",
"Albania","ALB","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.41","","","11.65","11.28","8.35","8.17","7.34","7.36","6.61","5.86","5.14","4.9","4.87","4.59","3.54","3.69","3.69","3.58","3.53","2.66","3.16","3.16","3.32","","",
"Andorra","AND","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.42","","3.95","3.88","3.88","","3.87","3.6","3.69","3.6","3.34","3.18","4.91","4.71","4.27","3.6","","",
"Argentina","ARG","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.66","12.53","","11.41","13.4","13.93","15.67","14.76","14.49","13.51","12.01","12.87","12.21","11.74","11.92","12.17","10.43","12.21","12.52","12.03","11.92","11.01","11.5","11.53","12.32","14.68","12.41","11.47","11.14","","",
"Armenia","ARM","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.43","","2.27","2.41","2.28","2.99","2.42","2.96","2.69","2.8","3.08","3.14","2.97","3.17","4.5","3.51","3.64","","7.99","4.9","","",
"American Samoa","ASM","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.64","","","20.3","15.39","12.8","12.8","12.36","12.11","12.18","13.34","14.9","14.62","14.8","11.56","11.56","13.66","16.72","11.43","13.81","13.44","14.54","16.86","14.72","14.72","","",
"Australia","AUS","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.87","","11.01","","","6.91","6.93","6.6","6.21","5.95","4.91","3.99","4.05","4","3.3","4.09","4.26","3.88","3.96","3.61","2.47","2.58","2.63","2.69","2.72","2.71","2.9","2.86","2.72","2.73","","",
"Austria","AUT","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.73","4.73","5.97","5.68","6.06","5.97","5.87","7.38","6.07","5.67","4.86","4.52","3.75","4.07","3.91","4.01","3.64","3.54","3.33","3.23","2.99","3.23","3.08","3","2.84","2.95","3.07","3.09","3.29","3.27","3.11","3.08","2.8","","",
"Azerbaijan","AZE","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.75","","","6.09","","5.95","5.78","6.27","","5.99","6.63","6.58","6.67","6.75","","","","17.66","8.04","","",
"Burundi","BDI","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.13","20.79","","21.1","17.49","14.64","13.38","19.5","19.5","15.46","15.16","12.39","13.03","10.84","10.25","","16.27","15.81","17.25","","",
"Belgium","BEL","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.73","4.73","5.97","5.68","6.06","5.97","5.87","7.38","6.07","5.67","4.86","4.52","3.75","4.07","3.91","4.01","3.64","3.54","3.33","3.23","2.99","3.23","3.08","3","2.84","2.95","3.07","3.09","3.29","3.27","3.11","3.08","2.8","","",
"Benin","BEN","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.62","12.7","12.69","12.7","12.68","12.6","11.75","11.75","11.75","11.75","11.73","11.73","11.73","11","13.56","12.46","17.84","15.52","11.93","11.93","","",
"Burkina Faso","BFA","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","11.16","11.45","11.3","11.38","11.03","10.56","10.42","10.42","10.42","10.63","10.18","9.65","9.65","9.65","9.32","9.6","9.08","10.81","11.97","9.44","","",
"Bangladesh","BGD","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.43","","","","","77.19","","","","22.15","18.52","18.11","17.89","18.31","19.06","15.8","22.7","21.64","9.25","7.71","10.71","9.94","9.63","12.84","12.09","","12.32","11.03","","","9.34","11.48","","",
"Bulgaria","BGR","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.73","4.73","5.97","5.68","6.06","5.97","5.87","7.38","6.07","5.67","4.86","4.52","3.75","4.07","3.91","4.01","3.64","3.54","3.33","3.23","2.99","3.23","3.08","3","2.84","2.95","3.07","3.09","3.29","3.27","3.11","3.08","2.8","","",
"Bahrain","BHR","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.72","10.36","8.51","5.79","5.76","5.77","5.53","5.41","5.71","5.31","5.3","5.15","5.92","5.92","4.49","3.99","4.23","4.16","8.56","6.17","5.83","4.32","","",
"Bahamas, The","BHS","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.58","","","25.02","","","","23.88","","","","20.22","19.46","","19.9","19.83","19.03","18.95","","17.69","","","","",
"Bosnia and Herzegovina","BIH","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.46","","","","","8.88","8.61","8.28","8.73","8.16","7.8","7.78","7.77","7.86","8.07","8.18","8.08","8.77","52.14","8.74","","",
"Belarus","BLR","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.85","9.5","","","7.63","7.91","8.8","","","","","","7.3","7.01","6","5.01","5.68","5.69","4.89","4.29","4.08","4.01","3.98","10.95","4.33","","",
"Belize","BLZ","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.63","","","11.19","","10.72","11.65","11.35","","","10.02","9.67","9.25","12.06","12.05","8.9","8.88","11.01","11.01","11.15","11.49","11.24","12.1","12","20.74","","",
"Bermuda","BMU","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.75","18.98","18.68","18.61","17.06","17.44","17.23","15.27","18.67","18.73","20.85","27.59","103.17","24.07","","",
"Bolivia","BOL","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.44","9.95","9.49","9.31","9.31","9.04","9.14","8.46","8.71","9.25","8.56","8.96","8.67","8.44","8.43","8.48","8.59","8.96","8.8","8.92","8.55","8.56","8.89","8.89","9.63","9.27","9.27","10.1","","",
"Brazil","BRA","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.92","18.95","16.55","15.71","13.02","13.27","12.69","14.83","14","15.94","13.85","12.69","10.47","10.01","9.53","9.06","8.54","8.46","8.58","8.58","9.92","10.09","10.1","10.12","10.08","9.92","10.32","10.19","10.87","10.99","10.82","10.25","","",
"Barbados","BRB","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.64","","","22.78","21.01","20.34","20.78","21.45","20.2","","17.12","19.23","","","15.77","13.15","8.69","15.39","","","","","","","15.57","","",
"Brunei Darussalam","BRN","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.43","","","","11.41","11.25","11.26","6.35","7.85","11.19","11.09","12.28","6.43","6.2","5.94","5.71","2.02","2.51","2.51","2.45","","","1.13","","1.19","0.12","0.11","0.08","0.08","","",
"Bhutan","BTN","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.55","","","","","","15.54","","21.49","21.54","","27.53","","","","","","","","21.7","","","","22.96","23.68","","",
"Botswana","BWA","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.34","9.3","","8.41","9.45","8.48","8.53","7.97","8.02","7.68","7.13","4.98","5.45","5.66","5.01","6.08","7.18","6.53","10.62","6.54","","",
"Central African Republic","CAF","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.86","","16.78","","","","18.3","16.86","29.86","29.86","29.49","29.87","17.63","17.62","17.62","17.62","17.43","17.44","17.69","","17.52","17.52","17.52","","","","","",
"Canada","CAN","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.08","","","","6.98","","6.93","5.6","5.19","3.95","3.73","3.43","3.61","3.67","6.11","3.54","3.4","3.38","3.49","3.36","3.49","2.96","2.84","2.88","2.97","2.94","3.11","3.2","3.17","3.09","7.24","3.16","","",
